track_name,artist(s)_name,released_year,key,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",2023,C Major,140,63,22,54,46,12,8
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",2022,C# Minor,119,75,48,53,18,18,34
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023,G Minor,110,76,96,72,32,9,4
Perfect,Ed Sheeran,2017,G# Major,95,60,17,45,16,11,2
Romantic Homicide,d4vd,2022,F# Major,132,56,20,55,45,32,3
Believer,Imagine Dragons,2017,A# Minor,125,77,74,78,4,23,11
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2023,D# Minor,124,84,65,50,67,13,6
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2023,B Minor,133,93,68,65,42,12,25
Without Me,Eminem,2002,G Major,112,92,67,66,0,36,9
QUEMA,"Sog, Ryan Castro, Peso Pluma",2023,C Major,97,79,92,89,5,6,5
Stargirl Interlude,"The Weeknd, Lana Del Rey",2016,F Minor,90,59,52,48,38,10,11
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2022,D# Minor,80,65,27,69,8,53,4
Somewhere Only We Know,Keane,2004,A Major,172,45,33,59,6,8,3
Those Eyes,New West,2019,E Major,120,60,24,35,73,31,3
El Gordo Trae El Mando,Chino Pacas,2023,G Minor,140,74,96,80,18,5,5
Mi Bello Angel,Natanael Cano,2023,A Minor,128,81,90,77,1,9,5
Bye,Peso Pluma,2023,C Major,122,78,70,81,57,10,5
Danza Kuduro,"Don Omar, Lucenzo",2010,C Major,130,47,86,92,8,5,24
Nosso Quadro,"Ana Castela, AgroPlay",2023,A Major,160,69,61,71,33,31,20
Locked Out Of Heaven,Bruno Mars,2012,F Major,144,73,87,70,6,28,5
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",2023,B Major,192,50,85,52,11,28,6
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022,C Major,163,54,40,67,0,9,17
Counting Stars,OneRepublic,2013,C# Minor,122,66,48,71,6,12,4
Ghost,Justin Bieber,2021,D Major,154,61,41,74,21,40,6
Under The Influence,Chris Brown,2019,A Minor,117,73,31,69,6,11,4
PRC,"Natanael Cano, Peso Pluma",2023,G Minor,138,78,89,83,10,12,5
Gasolina,Daddy Yankee,2004,C Major,96,86,74,80,33,8,6
One Dance,"Drake, WizKid, Kyla",2016,C# Major,104,77,36,63,1,36,5
Enchanted,Taylor Swift,2010,G# Major,164,45,24,62,8,16,3
Save Your Tears,The Weeknd,2020,C Major,118,68,61,82,2,50,3
Sure Thing,Miguel,2010,B Minor,81,68,51,60,3,19,10
Every Breath You Take - Remastered 2003,The Police,1983,C# Major,117,82,73,45,54,7,3
The Night We Met,Lord Huron,2015,D Major,174,45,10,37,97,64,4
We Found Love,"Rihanna, Calvin Harris",2011,C# Major,128,73,60,77,3,11,4
When I Was Your Man,Bruno Mars,2012,C Major,145,60,43,27,94,14,4
Let Me Down Slowly,Alec Benjamin,2018,C# Minor,150,65,51,55,73,14,3
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",2023,A Minor,90,60,13,53,4,21,4
Do I Wanna Know?,Arctic Monkeys,2013,F Major,85,55,42,53,17,22,3
Demons,Imagine Dragons,2012,D# Major,180,33,38,71,20,28,5
ýýýýýýýýýýýý,YOASOBI,2023,C# Major,166,57,84,94,11,37,9
Reminder,The Weeknd,2016,G# Major,160,71,40,50,16,16,22
Shake It Off,Taylor Swift,2014,G Major,160,65,95,80,5,41,16
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013,D Major,92,70,81,63,4,8,4
SNAP,Rosa Linn,2022,C Major,170,56,53,64,11,45,6
Shape of You,Ed Sheeran,2017,C# Minor,96,83,93,65,58,9,8
Night Changes,One Direction,2014,G# Major,120,67,40,52,86,12,4
Fin de Semana,"Oscar Maydon, Junior H",2023,C Major,98,70,37,54,6,9,8
Creep,Radiohead,1992,G Major,92,53,12,34,1,12,4
Car's Outside,James Arthur,2019,A Major,150,34,24,56,4,11,3
Apocalypse,Cigarettes After Sex,2017,F Major,94,37,17,47,2,11,3
Cheques,Shubh,2023,E Minor,90,74,36,63,26,27,5
Pink + White,Frank Ocean,2016,A Major,160,54,54,55,67,42,11
Circles,Post Malone,2019,C Major,120,70,59,75,24,9,4
Just The Way You Are,Bruno Mars,2010,F Major,109,63,46,85,1,9,5
Take Me To Church,Hozier,2013,E Minor,129,57,41,66,63,12,5
Bebe Dame,"Fuerza Regida, Grupo Frontera",2022,G Major,157,54,75,60,30,7,5
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2021,F# Major,130,63,49,73,5,9,3
Titi Me Preguntï¿,Bad Bunny,2022,F Minor,107,65,19,72,10,13,25
Better Than Revenge (Taylor's Version),Taylor Swift,2023,B Minor,146,50,67,89,0,19,8
Shut up My Moms Calling,Hotel Ugly,2020,A Minor,139,48,37,41,32,10,10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1968,C Major,116,74,76,70,7,13,3
Es un Secreto,Plan B,2010,F# Minor,95,84,52,77,12,7,4
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",2023,G# Minor,170,62,55,80,15,37,7
Ditto,NewJeans,2022,F# Minor,134,81,18,64,3,10,11
Take On Me,a-ha,1984,F# Minor,84,57,86,90,2,9,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",2023,B Minor,146,61,20,48,21,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",2023,A# Minor,74,53,24,67,11,10,28
Acrï¿½ï¿½s,Shakira,2023,B Major,144,75,35,48,84,10,12
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",2022,B Minor,136,77,79,73,15,27,10
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",2023,E Major,100,56,53,55,53,12,4
S-Class,Stray Kids,2023,F Minor,105,89,67,78,9,7,33
Hits Different,Taylor Swift,2023,F Major,106,67,24,78,15,30,4
Chanel,"Becky G, Peso Pluma",2023,D Major,132,85,53,68,40,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2023,A Major,120,78,5,30,21,13,5
Area Codes,"Kaliii, Kaliii",2023,C# Major,155,82,51,39,2,9,49
Abcdario,"Junior H, Eden Muï¿½ï",2023,G# Major,129,70,42,43,78,11,3
Obsessed,"Abhijay Sharma, Riar Saab",2022,F Minor,135,80,85,74,62,8,9
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2023,A# Minor,98,73,45,62,28,13,13
FLOWER,JISOO,2023,A Minor,124,84,64,39,3,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",2023,A Minor,135,77,28,55,18,22,15
Eyes Closed,Ed Sheeran,2023,D Major,107,78,39,53,30,11,6
Escapism.,"RAYE, 070 Shake",2022,D Major,96,54,25,74,14,9,11
La Jumpa,"Arcangel, Bad Bunny",2022,G# Major,123,71,58,70,30,32,19
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2023,G# Major,90,62,7,62,6,58,6
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",2022,F Minor,117,72,45,59,14,20,21
Las Morras,"BLESSD, Peso Pluma",2023,A Minor,133,78,90,84,31,7,4
CHORRITO PA LAS ANIMAS,Feid,2022,G# Minor,96,74,61,83,11,35,6
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2022,G# Major,149,66,85,60,40,14,13
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2023,F# Minor,110,66,32,40,81,11,3
Players,Coi Leray,2022,F# Major,105,95,62,52,3,5,16
Bite Me,ENHYPEN,2023,C# Major,105,80,69,78,28,11,14
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2023,B Major,134,76,61,58,6,16,3
Normal,Feid,2022,E Minor,170,71,59,56,4,27,12
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2023,F# Major,81,59,26,60,46,25,13
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2023,F# Major,154,63,75,92,31,91,5
Bad Habit,Steve Lacy,2022,C# Major,169,69,69,51,63,38,4
CUFF IT,Beyoncï¿,2022,G Major,115,78,64,69,4,7,14
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2023,A Minor,84,43,14,74,1,19,8
69,"Nicky Jam, Feid",2023,G# Major,93,79,58,62,11,11,23
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2023,G Major,91,82,47,62,10,10,15
Search & Rescue,Drake,2023,A# Minor,142,82,54,44,6,33,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2023,C# Major,126,78,20,70,1,16,4
Lavender Haze,Taylor Swift,2022,A# Major,97,73,10,44,26,16,8
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",2023,F Major,101,92,59,51,41,26,8
Efecto,Bad Bunny,2022,G Minor,98,80,23,48,14,6,5
Erro Gostoso - Ao Vivo,Simone Mendes,2023,F# Major,154,59,63,89,18,80,9
Cupido,Tini,2023,A Major,120,91,63,58,52,31,22
Just Wanna Rock,Lil Uzi Vert,2022,B Major,150,49,4,55,7,6,3
Unstoppable,Sia,2016,A Major,174,47,27,78,11,10,8
Until I Found You,Stephen Sanchez,2021,A# Major,202,34,25,51,69,18,4
Rich Flex,"Drake, 21 Savage",2022,B Minor,153,56,42,52,5,36,24
Easy On Me,Adele,2021,F Major,142,60,13,37,58,13,3
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2023,A Minor,108,84,55,47,26,20,64
Danger (Spider) (Offset & JID),"Offset, JID",2023,B Major,143,83,25,69,4,23,12
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,2023,D Major,108,67,55,67,60,80,5
The Real Slim Shady,Eminem,2000,F Minor,104,95,78,66,3,4,6
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",2022,F# Minor,93,84,96,79,43,18,11
The Color Violet,Tory Lanez,2021,F# Minor,105,65,46,53,16,9,5
Glimpse of Us,Joji,2022,G# Major,170,44,27,32,89,14,5
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",2023,C# Minor,178,62,56,66,18,12,5
Curtains,Ed Sheeran,2023,F# Minor,176,50,44,76,10,32,5
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2023,E Minor,104,80,38,88,11,11,5
Haegeum,Agust D,2023,G Major,85,70,83,84,31,47,30
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2023,F# Minor,117,77,69,58,39,26,5
MIENTRAS ME CURO DEL CORA,Karol G,2023,C Major,80,52,57,48,86,15,39
Never Felt So Alone,Labrinth,2023,F Major,98,44,36,41,50,38,5
X SI VOLVEMOS,"Karol G, Romeo Santos",2023,C# Minor,178,79,58,78,34,11,25
ceilings,Lizzy McAlpine,2022,A Major,148,51,27,33,48,22,3
Cupid,Fifty Fifty,2023,D Major,120,77,94,66,65,38,3
I AM,IVE,2023,E Minor,122,68,38,88,1,8,5
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1997,F Major,144,74,75,73,42,9,4
Shorty Party,"Cartel De Santa, La Kelly",2023,D Major,96,93,47,47,33,10,36
Super,SEVENTEEN,2023,G# Major,137,77,35,88,16,17,9
Slut Me Out,NLE Choppa,2022,F# Minor,121,94,71,61,12,53,42
Double Fantasy (with Future),"The Weeknd, Future",2023,A Minor,119,60,10,57,1,50,3
All Of The Girls You Loved Before,Taylor Swift,2019,D Major,96,72,40,47,71,13,4
PROVENZA,Karol G,2022,C# Major,111,87,53,52,66,11,5
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2023,A Major,148,90,74,68,14,10,19
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2023,A Major,182,57,80,59,8,6,5
Shivers,Ed Sheeran,2021,D Major,141,79,82,86,28,4,9
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2022,E Minor,145,76,80,81,19,6,9
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2023,B Minor,110,76,26,70,1,41,6
Komang,Raim Laode,2022,G Major,134,70,35,41,41,10,3
DESPECHï¿,ROSALï¿½,2022,G Major,130,92,78,62,18,6,10
Made You Look,Meghan Trainor,2022,A# Major,145,84,88,53,35,8,7
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",2023,B Minor,130,69,36,90,1,15,4
No Se Va,Grupo Frontera,2022,C Major,173,59,69,53,12,23,3
Punto G,Quevedo,2022,B Minor,92,75,55,76,25,10,15
Lovers Rock,TV Girl,2014,F Minor,105,56,57,87,0,10,4
METAMORPHOSIS,INTERWORLD,2021,G Minor,175,59,15,64,43,12,10
Mami Chula,"Quevedo, Jhayco",2023,G Minor,120,80,33,70,22,9,4
En Paris,"El Chachito, Junior H",2022,D# Minor,139,70,77,48,37,12,5
Set Me Free Pt.2,Jimin,2023,C Minor,132,59,56,82,12,12,6
I Was Never There,"The Weeknd, Gesaffelstein",2018,A# Major,114,32,17,74,14,17,3
Don't ever say love me (feat. RM of BTS),"RM, Colde",2023,B Minor,145,54,19,48,36,37,5
Shut Down,BLACKPINK,2022,C Major,110,82,67,69,0,18,4
Gato de Noche,"Nengo Flow, Bad Bunny",2022,G# Major,94,89,61,66,17,36,16
Call Out My Name,The Weeknd,2018,C# Major,134,45,17,60,21,33,4
Like Crazy (English Version),Jimin,2023,G Major,120,62,32,76,0,39,4
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2023,G Minor,123,70,86,68,24,11,4
Sunroof,"Nicky Youre, Dazy",2021,A# Major,131,77,84,71,35,15,4
Lose Yourself - Soundtrack Version,Eminem,2002,D Major,171,70,6,73,1,36,26
Superman,"Eminem, Dina Rae",2002,E Minor,130,80,64,76,2,20,6
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",2023,B Major,94,82,53,67,34,9,8
People Pt.2 (feat. IU),"IU, Agust D",2023,G Minor,89,73,44,57,39,32,6
REMIX EXCLUSIVO,Feid,2023,F Minor,87,65,71,56,4,15,20
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2023,B Minor,124,72,79,78,55,15,30
DOGTOOTH,"Tyler, The Creator",2023,G# Major,78,71,80,65,51,22,32
"""10:35:00""","Tiï¿½ï¿½sto, Tate M",2022,G# Major,120,70,70,79,7,18,10
SORRY NOT SORRY,"Tyler, The Creator",2023,F# Minor,96,48,50,80,40,37,20
HAPPY,NF,2023,G Major,106,73,22,86,31,12,4
La Bebe,Yng Lvcas,2021,D Minor,170,78,75,46,62,12,35
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2023,B Minor,134,67,11,76,8,30,7
Late Night Talking,Harry Styles,2022,A# Major,115,71,90,73,30,11,5
Leï¿½,Marï¿½ï¿½lia Mendo,2022,F# Major,130,74,79,87,45,30,3
